keyword,high_risk_of_false_positive,category,theme,language
pêche durable,false,Agriculture,adaptation_climatique_solutions,french
reforestation,false,Ecosystème,adaptation_climatique_solutions,french
renaturer,false,Ecosystème,adaptation_climatique_solutions,french
renforcer les digues,false,Eau,adaptation_climatique_solutions,french
renforcer les dunes,false,Ecosystème,adaptation_climatique_solutions,french
restriction d’eau,false,Eau,adaptation_climatique_solutions,french
retenue collinaire,false,Eau,adaptation_climatique_solutions,french
revégétalisation,false,Ecosystème,adaptation_climatique_solutions,french
revégétaliser,false,Ecosystème,adaptation_climatique_solutions,french
récupérateur d'eau,false,Eau,adaptation_climatique_solutions,french
récupérer l'eau,false,Eau,adaptation_climatique_solutions,french
réduction de la demande en eau,false,Eau,adaptation_climatique_solutions,french
réduire l’élevage intensif,false,Agriculture,adaptation_climatique_solutions,french
rénovation des batiments,false,Batiments,adaptation_climatique_solutions,french
rénovation thermique,false,Batiments,adaptation_climatique_solutions,french
réserve d’eau,false,Eau,adaptation_climatique_solutions,french
résistant à la sécheresse,false,General,adaptation_climatique_solutions,french
résistante à la sécheresse,false,Ecosystème,adaptation_climatique_solutions,french
réutilisation des eaux usées traitées,false,Eau,adaptation_climatique_solutions,french
sauvegarde de la ressource en eau,false,Eau,adaptation_climatique_solutions,french
tva verte,false,General,adaptation_climatique_solutions,french
tévéa verte,false,General,adaptation_climatique_solutions,french
verdir la politique agricole,false,Agriculture,adaptation_climatique_solutions,french
vertueux pour la planète,false,General,adaptation_climatique_solutions,french
végétalisation,false,Ecosystème,adaptation_climatique_solutions,french
végétaliser,false,Ecosystème,adaptation_climatique_solutions,french
végétalisé,false,Ecosystème,adaptation_climatique_solutions,french
végétalisée,false,Ecosystème,adaptation_climatique_solutions,french
économie d’eau,false,Eau,adaptation_climatique_solutions,french
économiser l'eau,false,Eau,adaptation_climatique_solutions,french
îlot de fraîcheur,false,Ecosystème,adaptation_climatique_solutions,french
aménagement du territoire,true,General,adaptation_climatique_solutions_indirectes,french
barrage,true,Eau,adaptation_climatique_solutions_indirectes,french
bon pour la santé,true,General,adaptation_climatique_solutions_indirectes,french
changer leurs habitudes,true,General,adaptation_climatique_solutions_indirectes,french
changer nos comportements,true,General,adaptation_climatique_solutions_indirectes,french
changer nos habitudes,true,General,adaptation_climatique_solutions_indirectes,french
digue,true,General,adaptation_climatique_solutions_indirectes,french
dune,true,General,adaptation_climatique_solutions_indirectes,french
espace vert,true,,adaptation_climatique_solutions_indirectes,french
faire baisser la température,true,,adaptation_climatique_solutions_indirectes,french
forêt,true,Ecosystème,adaptation_climatique_solutions_indirectes,french
gestion de l'eau,true,Eau,adaptation_climatique_solutions_indirectes,french
gestion des milieux aquatiques,true,Eau,adaptation_climatique_solutions_indirectes,french
jachère,true,Agriculture,adaptation_climatique_solutions_indirectes,french
jardin,true,Ecosystème,adaptation_climatique_solutions_indirectes,french
manipuler la terre,true,Agriculture,adaptation_climatique_solutions_indirectes,french
mega bassine,true,Eau,adaptation_climatique_solutions_indirectes,french
miscanthus,true,Agriculture,adaptation_climatique_solutions_indirectes,french
norme,true,General,adaptation_climatique_solutions_indirectes,french
ombre,true,Ecosystème,adaptation_climatique_solutions_indirectes,french
parc,true,Ecosystème,adaptation_climatique_solutions_indirectes,french
poumon vert,true,Ecosystème,adaptation_climatique_solutions_indirectes,french
pratiques vertueuses,true,Agriculture,adaptation_climatique_solutions_indirectes,french
sorgho,true,Agriculture,adaptation_climatique_solutions_indirectes,french
système d'alerte,true,General,adaptation_climatique_solutions_indirectes,french
verdir,true,,adaptation_climatique_solutions_indirectes,french
verdure,true,,adaptation_climatique_solutions_indirectes,french
vertueux,true,General,adaptation_climatique_solutions_indirectes,french
ville durable,true,General,adaptation_climatique_solutions_indirectes,french
absorption du carbone,false,General,attenuation_climatique_solutions,french
agir pour le climat,false,General,attenuation_climatique_solutions,french
agriculture bio,false,Agriculture,attenuation_climatique_solutions,french
agriculture biologique,false,Agriculture,attenuation_climatique_solutions,french
agriculture de conservation,false,Agriculture,attenuation_climatique_solutions,french
agriculture plus verte,false,Agriculture,attenuation_climatique_solutions,french
agro écologie,false,Agriculture,attenuation_climatique_solutions,french
agro écologique,false,Agriculture,attenuation_climatique_solutions,french
agroforesterie,false,Agriculture,attenuation_climatique_solutions,french
agroécologie,false,Agriculture,attenuation_climatique_solutions,french
ajustement carbone,false,General,attenuation_climatique_solutions,french
amélioration des pratiques d'élevage,false,Agriculture,attenuation_climatique_solutions,french
anti gaspillage,false,Economie des ressources,attenuation_climatique_solutions,french
antigaspi,false,Economie des ressources,attenuation_climatique_solutions,french
antigaspillage,false,Economie des ressources,attenuation_climatique_solutions,french
aquaculture durable,false,Agriculture,attenuation_climatique_solutions,french
arbre planté,false,Ecosystème,attenuation_climatique_solutions,french
arrêter de prendre l'avion,false,Transport,attenuation_climatique_solutions,french
atténuation du changement climatique,false,General,attenuation_climatique_solutions,french
avihonte,false,Transport,attenuation_climatique_solutions,french
avion vert,false,Transport,attenuation_climatique_solutions,french
avion à hydrogène,false,Transport,attenuation_climatique_solutions,french
baisse des émissions de carbone,false,General,attenuation_climatique_solutions,french
baisse des émissions de gaz à effet de serre,false,General,attenuation_climatique_solutions,french
baisse du trafic aérien,false,Transport,attenuation_climatique_solutions,french
bas carbone,false,General,attenuation_climatique_solutions,french
bienfaits de la nature,false,Ecosystème,attenuation_climatique_solutions,french
biocarburant,false,Transport,attenuation_climatique_solutions,french
biochar,false,Agriculture,attenuation_climatique_solutions,french
bioclimatique,false,Batiments,attenuation_climatique_solutions,french
biogaz,false,Energie,attenuation_climatique_solutions,french
biomasse,false,Energie,attenuation_climatique_solutions,french
bois-énergie,false,Energie,attenuation_climatique_solutions,french
bon pour la planète,false,General,attenuation_climatique_solutions,french
bonus climatique,false,Transport,attenuation_climatique_solutions,french
bonus écologique,false,Transport,attenuation_climatique_solutions,french
bonus-malus écologique,false,Transport,attenuation_climatique_solutions,french
borne de recharge,false,Transport,attenuation_climatique_solutions,french
bâtiment à énergie positive,false,Batiments,attenuation_climatique_solutions,french
béton bas carbone,false,Batiments,attenuation_climatique_solutions,french
captage et stockage,false,General,attenuation_climatique_solutions,french
capteur de carbone,false,General,attenuation_climatique_solutions,french
capture et séquestration de carbone,false,General,attenuation_climatique_solutions,french
capturer le carbone,false,General,attenuation_climatique_solutions,french
carburant d'aviation durable,false,Transport,attenuation_climatique_solutions,french
carburant d'origine non fossile,false,Transport,attenuation_climatique_solutions,french
carburant de synthèse,false,Transport,attenuation_climatique_solutions,french
carburant durable,false,Transport,attenuation_climatique_solutions,french
centrale hydroélectrique,false,Energie,attenuation_climatique_solutions,french
changer de modèle agricole,false,Agriculture,attenuation_climatique_solutions,french
changer de modèle économique,false,General,attenuation_climatique_solutions,french
changer nos habitudes alimentaires,false,General,attenuation_climatique_solutions,french
ciment de nouvelle génération,false,Batiments,attenuation_climatique_solutions,french
ciment durable,false,Batiments,attenuation_climatique_solutions,french
consommation plus responsable,false,Economie des ressources,attenuation_climatique_solutions,french
consommation responsable,false,Economie des ressources,attenuation_climatique_solutions,french
contre les émissions de carbone,false,General,attenuation_climatique_solutions,french
crit'air,false,Transport,attenuation_climatique_solutions,french
descente énergétique,false,Energie,attenuation_climatique_solutions,french
diagnostic de performance energétique,false,Batiments,attenuation_climatique_solutions,french
diminuer les émissions de carbone,false,General,attenuation_climatique_solutions,french
diminuer les émissions de gaz à effet de serre,false,General,attenuation_climatique_solutions,french
droit environnemental,false,General,attenuation_climatique_solutions,french
décarbonation,false,General,attenuation_climatique_solutions,french
décarboner,false,General,attenuation_climatique_solutions,french
décarboné,false,General,attenuation_climatique_solutions,french
décarbonée,false,General,attenuation_climatique_solutions,french
déchet de canne à sucre,false,Transport,attenuation_climatique_solutions,french
décroissance énergétique,false,Energie,attenuation_climatique_solutions,french
dépolluer,false,Agriculture,attenuation_climatique_solutions,french
dépollution,false,General,attenuation_climatique_solutions,french
eco-prêt à taux 0,false,Batiments,attenuation_climatique_solutions,french
eco-prêt à taux zéro,false,Batiments,attenuation_climatique_solutions,french
ecomobilité,false,Transport,attenuation_climatique_solutions,french
efficacité énergétique,false,Energie,attenuation_climatique_solutions,french
en consommant moins,false,General,attenuation_climatique_solutions,french
exploitation raisonnée,false,General,attenuation_climatique_solutions,french
fin de la vente des voitures thermiques,false,Transport,attenuation_climatique_solutions,french
fiscalité environnementale,false,Industrie,attenuation_climatique_solutions,french
flygskam,false,Transport,attenuation_climatique_solutions,french
foresterie urbaine,false,Ecosystème,attenuation_climatique_solutions,french
forêt mosaïque,false,Ecosystème,attenuation_climatique_solutions,french
forêt urbaine,false,Ecosystème,attenuation_climatique_solutions,french
geste écologique,false,General,attenuation_climatique_solutions,french
gestion durable des forêts,false,Ecosystème,attenuation_climatique_solutions,french
gestion durable des terres cultivables,false,Agriculture,attenuation_climatique_solutions,french
géothermie,false,Energie,attenuation_climatique_solutions,french
honte de prendre l'avion,false,Transport,attenuation_climatique_solutions,french
huile de friture usagé,false,Transport,attenuation_climatique_solutions,french
hydrogène,false,Energie,attenuation_climatique_solutions,french
hydrogène vert,false,Energie,attenuation_climatique_solutions,french
hydroélectricité,false,Energie,attenuation_climatique_solutions,french
isf climatique,false,Industrie,attenuation_climatique_solutions,french
isolation par l'extérieur,false,Batiments,attenuation_climatique_solutions,french
isolation thermique,false,Batiments,attenuation_climatique_solutions,french
journée de la biodiversité,false,General,attenuation_climatique_solutions,french
journée de la terre,false,General,attenuation_climatique_solutions,french
journée mondiale de la vie sauvage,false,General,attenuation_climatique_solutions,french
leasing électrique,false,Transport,attenuation_climatique_solutions,french
limiter la hausse des températures,false,General,attenuation_climatique_solutions,french
limiter les émissions de carbone,false,General,attenuation_climatique_solutions,french
lutte contre le gaspillage alimentaire,false,Economie des ressources,attenuation_climatique_solutions,french
lutte contre le gaspillage énergétique,false,Energie,attenuation_climatique_solutions,french
ma prime rénov,false,Batiments,attenuation_climatique_solutions,french
maison autonome,false,Batiments,attenuation_climatique_solutions,french
maison passive,false,Batiments,attenuation_climatique_solutions,french
malus écologique,false,Transport,attenuation_climatique_solutions,french
maprimerénov,false,Batiments,attenuation_climatique_solutions,french
matériaux biosourcés,false,Batiments,attenuation_climatique_solutions,french
matériaux plus vertueux,false,Batiments,attenuation_climatique_solutions,french
matériaux recyclables,false,Batiments,attenuation_climatique_solutions,french
matériaux recyclés,false,Batiments,attenuation_climatique_solutions,french
mesure environnementale,false,General,attenuation_climatique_solutions,french
mobilité douce,false,Transport,attenuation_climatique_solutions,french
mobilité durable,false,Transport,attenuation_climatique_solutions,french
moins polluant,false,General,attenuation_climatique_solutions,french
moins polluer,false,General,attenuation_climatique_solutions,french
moins prendre l'avion,false,Transport,attenuation_climatique_solutions,french
méthanisation,false,Energie,attenuation_climatique_solutions,french
méthaniseur,false,Energie,attenuation_climatique_solutions,french
net zéro émission,false,General,attenuation_climatique_solutions,french
objectif climatique,false,General,attenuation_climatique_solutions,french
panneau solaire,false,Energie,attenuation_climatique_solutions,french
panneaux solaires,false,Energie,attenuation_climatique_solutions,french
parc photovoltaïque,false,Energie,attenuation_climatique_solutions,french
parc éolien,false,Energie,attenuation_climatique_solutions,french
photovoltaïque,false,Energie,attenuation_climatique_solutions,french
plantant des arbres,false,Ecosystème,attenuation_climatique_solutions,french
plantation d'arbres,false,Ecosystème,attenuation_climatique_solutions,french
plante des arbres,false,Ecosystème,attenuation_climatique_solutions,french
plantent des arbres,false,Ecosystème,attenuation_climatique_solutions,french
planter des arbres,false,Ecosystème,attenuation_climatique_solutions,french
planté des arbres,false,Ecosystème,attenuation_climatique_solutions,french
plastique recyclé,false,Economie des ressources,attenuation_climatique_solutions,french
pollueur payeur,false,General,attenuation_climatique_solutions,french
prime à la casse,false,Transport,attenuation_climatique_solutions,french
prise de conscience environnementale,false,General,attenuation_climatique_solutions,french
prise de conscience écologique,false,General,attenuation_climatique_solutions,french
produits verts,false,General,attenuation_climatique_solutions,french
protection de la planète,false,Ecosystème,attenuation_climatique_solutions,french
protection des cours d’eau,false,Eau,attenuation_climatique_solutions,french
protection des océans,false,Eau,attenuation_climatique_solutions,french
protection des tourbières,false,Ecosystème,attenuation_climatique_solutions,french
protection du vivant,false,Ecosystème,attenuation_climatique_solutions,french
préservation de la nature,false,Ecosystème,attenuation_climatique_solutions,french
préservation des forêts,false,Ecosystème,attenuation_climatique_solutions,french
préserver la forêt,false,Ecosystème,attenuation_climatique_solutions,french
préserver la nature,false,Ecosystème,attenuation_climatique_solutions,french
préserver les forêts,false,Ecosystème,attenuation_climatique_solutions,french
puits carbone,false,General,attenuation_climatique_solutions,french
puits de carbone,false,General,attenuation_climatique_solutions,french
pêche durable,false,Agriculture,attenuation_climatique_solutions,french
quota de pêche,false,Agriculture,attenuation_climatique_solutions,french
recyclage,false,Economie des ressources,attenuation_climatique_solutions,french
recyclant,false,Economie des ressources,attenuation_climatique_solutions,french
recycler,false,Economie des ressources,attenuation_climatique_solutions,french
reforestation,false,Ecosystème,attenuation_climatique_solutions,french
remplacer les énergies fossiles,false,Energie,attenuation_climatique_solutions,french
renaturer,false,Ecosystème,attenuation_climatique_solutions,french
respect de l’environnement,false,Ecosystème,attenuation_climatique_solutions,french
respectueux de l’environnement,false,Ecosystème,attenuation_climatique_solutions,french
restauration des tourbières,false,Ecosystème,attenuation_climatique_solutions,french
restauration des zones humides,false,Ecosystème,attenuation_climatique_solutions,french
restauration écologique,false,Ecosystème,attenuation_climatique_solutions,french
restaurer les tourbières,false,Ecosystème,attenuation_climatique_solutions,french
revégétalisation,false,Ecosystème,attenuation_climatique_solutions,french
revégétaliser,false,Ecosystème,attenuation_climatique_solutions,french
réduction de la consommation,false,General,attenuation_climatique_solutions,french
réduction des gaspillages énergétiques,false,Energie,attenuation_climatique_solutions,french
réduction des émissions de carbone,false,General,attenuation_climatique_solutions,french
réduction des émissions de gaz à effet de serre,false,General,attenuation_climatique_solutions,french
réduction du cheptel,false,Agriculture,attenuation_climatique_solutions,french
réduction du gaspillage alimentaire,false,Economie des ressources,attenuation_climatique_solutions,french
réduction du gaspillage énergétique,false,Energie,attenuation_climatique_solutions,french
réduire la consommation,false,General,attenuation_climatique_solutions,french
réduire la consommation d’eau,false,Eau,attenuation_climatique_solutions,french
réduire le cheptel,false,Agriculture,attenuation_climatique_solutions,french
réduire le trafic aérien,false,Transport,attenuation_climatique_solutions,french
réduire les émissions de carbone,false,General,attenuation_climatique_solutions,french
réduire les émissions de gaz à effet de serre,false,General,attenuation_climatique_solutions,french
réduire les émissions d’azote,false,Agriculture,attenuation_climatique_solutions,french
réduire sa consommation de viande,false,Agriculture,attenuation_climatique_solutions,french
réemploi,false,Economie des ressources,attenuation_climatique_solutions,french
rénovation des batiments,false,Batiments,attenuation_climatique_solutions,french
rénovation thermique,false,Batiments,attenuation_climatique_solutions,french
réseau de chaleur,false,Energie,attenuation_climatique_solutions,french
réseaux de chaleur,false,Energie,attenuation_climatique_solutions,french
réservoir d'hydrogène,false,Transport,attenuation_climatique_solutions,french
sans émettre de co deux,false,General,attenuation_climatique_solutions,french
sans émettre de co2,false,General,attenuation_climatique_solutions,french
se débarrasser des énergies fossiles,false,Energie,attenuation_climatique_solutions,french
se décarboner,false,General,attenuation_climatique_solutions,french
semaine du développement durable,false,General,attenuation_climatique_solutions,french
sevrage des énergies fossiles,false,General,attenuation_climatique_solutions,french
sobriété,false,General,attenuation_climatique_solutions,french
sobriété énergétique,false,Energie,attenuation_climatique_solutions,french
société écologique,false,General,attenuation_climatique_solutions,french
sortie des énergies fossiles,false,Energie,attenuation_climatique_solutions,french
sortie du charbon,false,Energie,attenuation_climatique_solutions,french
stockage du carbone,false,General,attenuation_climatique_solutions,french
stockage du carbone dans les sols,false,General,attenuation_climatique_solutions,french
stockage du co deux,false,General,attenuation_climatique_solutions,french
stocker le carbone,false,General,attenuation_climatique_solutions,french
séquestration du carbone,false,Industrie,attenuation_climatique_solutions,french
technologie verte,false,General,attenuation_climatique_solutions,french
transport décarboné,false,Transport,attenuation_climatique_solutions,french
tva verte,false,General,attenuation_climatique_solutions,french
tévéa verte,false,General,attenuation_climatique_solutions,french
valorisation des déchets,false,Economie des ressources,attenuation_climatique_solutions,french
verdir la politique agricole,false,Agriculture,attenuation_climatique_solutions,french
vertueux pour la planète,false,General,attenuation_climatique_solutions,french
ville écologique,false,General,attenuation_climatique_solutions,french
végétalisation,false,Ecosystème,attenuation_climatique_solutions,french
végétaliser,false,Ecosystème,attenuation_climatique_solutions,french
végétalisé,false,Ecosystème,attenuation_climatique_solutions,french
végétalisée,false,Ecosystème,attenuation_climatique_solutions,french
zfe,false,Transport,attenuation_climatique_solutions,french
zone à faible émission,false,Transport,attenuation_climatique_solutions,french
zéro carbone,false,General,attenuation_climatique_solutions,french
zéro plastique,false,Economie des ressources,attenuation_climatique_solutions,french
zéro émission nette,false,General,attenuation_climatique_solutions,french
éco conception,false,Industrie,attenuation_climatique_solutions,french
éco geste,false,General,attenuation_climatique_solutions,french
éco organisme,false,General,attenuation_climatique_solutions,french
éco responsable,false,General,attenuation_climatique_solutions,french
écoconception,false,Industrie,attenuation_climatique_solutions,french
économie circulaire,false,Economie des ressources,attenuation_climatique_solutions,french
économie d’énergie,false,Energie,attenuation_climatique_solutions,french
économie qui répare,false,Economie des ressources,attenuation_climatique_solutions,french
économiser de l’énergie,false,Energie,attenuation_climatique_solutions,french
écoresponsable,false,General,attenuation_climatique_solutions,french
énergie durable,false,Energie,attenuation_climatique_solutions,french
énergie renouvelable,false,Energie,attenuation_climatique_solutions,french
énergie solaire,false,Energie,attenuation_climatique_solutions,french
énergie verte,false,Energie,attenuation_climatique_solutions,french
éolien,false,Energie,attenuation_climatique_solutions,french
éolienne,false,Energie,attenuation_climatique_solutions,french
étiquetage unique des aliments,false,Agriculture,attenuation_climatique_solutions,french
activisme climatique,true,General,attenuation_climatique_solutions_indirectes,french
activiste pour le climat,true,General,attenuation_climatique_solutions_indirectes,french
agriculture durable,true,Agriculture,attenuation_climatique_solutions_indirectes,french
alternative,true,General,attenuation_climatique_solutions_indirectes,french
alternative durable,true,General,attenuation_climatique_solutions_indirectes,french
approche systémique,true,General,attenuation_climatique_solutions_indirectes,french
atténuation,true,General,attenuation_climatique_solutions_indirectes,french
bardage en bois,true,Batiments,attenuation_climatique_solutions_indirectes,french
biodégradable,true,Economie des ressources,attenuation_climatique_solutions_indirectes,french
bois d’oeuvre,true,Batiments,attenuation_climatique_solutions_indirectes,french
bon pour la santé,true,General,attenuation_climatique_solutions_indirectes,french
bonus automobile,true,Transport,attenuation_climatique_solutions_indirectes,french
borne électrique,true,Transport,attenuation_climatique_solutions_indirectes,french
bus,true,Transport,attenuation_climatique_solutions_indirectes,french
bus électrique,true,Transport,attenuation_climatique_solutions_indirectes,french
camion xxl,true,Transport,attenuation_climatique_solutions_indirectes,french
camion électrique,true,Transport,attenuation_climatique_solutions_indirectes,french
centrale nucléaire,true,Energie,attenuation_climatique_solutions_indirectes,french
changement de chaudière,true,Batiments,attenuation_climatique_solutions_indirectes,french
changer leurs habitudes,true,General,attenuation_climatique_solutions_indirectes,french
changer nos comportements,true,General,attenuation_climatique_solutions_indirectes,french
changer nos habitudes,true,General,attenuation_climatique_solutions_indirectes,french
compostage,true,Economie des ressources,attenuation_climatique_solutions_indirectes,french
covoiturage,true,Transport,attenuation_climatique_solutions_indirectes,french
déconstruire,true,General,attenuation_climatique_solutions_indirectes,french
décroissance,true,General,attenuation_climatique_solutions_indirectes,french
désobéissance civile,true,General,attenuation_climatique_solutions_indirectes,french
développement durable,true,General,attenuation_climatique_solutions_indirectes,french
epr,true,Energie,attenuation_climatique_solutions_indirectes,french
espace vert,true,Ecosystème,attenuation_climatique_solutions_indirectes,french
faire baisser la température,true,,attenuation_climatique_solutions_indirectes,french
falloir ralentir,true,General,attenuation_climatique_solutions_indirectes,french
forêt,true,Ecosystème,attenuation_climatique_solutions_indirectes,french
fret ferroviaire,true,Transport,attenuation_climatique_solutions_indirectes,french
habitude durable,true,Economie des ressources,attenuation_climatique_solutions_indirectes,french
industrie verte,true,Industrie,attenuation_climatique_solutions_indirectes,french
intercités,true,Transport,attenuation_climatique_solutions_indirectes,french
isolation,true,Batiments,attenuation_climatique_solutions_indirectes,french
isoler la façade,true,Batiments,attenuation_climatique_solutions_indirectes,french
isoler les fenêtres,true,Batiments,attenuation_climatique_solutions_indirectes,french
jachère,true,Agriculture,attenuation_climatique_solutions_indirectes,french
label ab,true,Agriculture,attenuation_climatique_solutions_indirectes,french
label bio,true,Agriculture,attenuation_climatique_solutions_indirectes,french
label hve,true,Agriculture,attenuation_climatique_solutions_indirectes,french
label éco,true,Industrie,attenuation_climatique_solutions_indirectes,french
label écologique,true,Industrie,attenuation_climatique_solutions_indirectes,french
leasing social,true,Transport,attenuation_climatique_solutions_indirectes,french
ligne tgv,true,Transport,attenuation_climatique_solutions_indirectes,french
made in france,true,Industrie,attenuation_climatique_solutions_indirectes,french
manifestation pour le climat,true,General,attenuation_climatique_solutions_indirectes,french
manipuler la terre,true,Agriculture,attenuation_climatique_solutions_indirectes,french
marche du siècle,true,General,attenuation_climatique_solutions_indirectes,french
marche pour le climat,true,General,attenuation_climatique_solutions_indirectes,french
marche à pied,true,Transport,attenuation_climatique_solutions_indirectes,french
matériau isolant,true,Batiments,attenuation_climatique_solutions_indirectes,french
matériaux isolants,true,,attenuation_climatique_solutions_indirectes,french
militant écologiste,true,General,attenuation_climatique_solutions_indirectes,french
militante écologiste,true,General,attenuation_climatique_solutions_indirectes,french
moins de viande,true,Agriculture,attenuation_climatique_solutions_indirectes,french
norme,true,General,attenuation_climatique_solutions_indirectes,french
nucléaire,true,Energie,attenuation_climatique_solutions_indirectes,french
parc,true,Ecosystème,attenuation_climatique_solutions_indirectes,french
pass rail,true,Transport,attenuation_climatique_solutions_indirectes,french
passer à l'électrique,true,Transport,attenuation_climatique_solutions_indirectes,french
permaculture,true,Agriculture,attenuation_climatique_solutions_indirectes,french
plus durable,true,General,attenuation_climatique_solutions_indirectes,french
plus d’oxygène,true,,attenuation_climatique_solutions_indirectes,french
poid lourd électrique,true,Transport,attenuation_climatique_solutions_indirectes,french
polyculture élevage,true,Agriculture,attenuation_climatique_solutions_indirectes,french
pompe à chaleur,true,Batiments,attenuation_climatique_solutions_indirectes,french
poumon vert,true,Ecosystème,attenuation_climatique_solutions_indirectes,french
prairie,true,Ecosystème,attenuation_climatique_solutions_indirectes,french
pratiques vertueuses,true,Agriculture,attenuation_climatique_solutions_indirectes,french
principe de précaution,true,General,attenuation_climatique_solutions_indirectes,french
produire en europe,true,Industrie,attenuation_climatique_solutions_indirectes,french
préserver,true,General,attenuation_climatique_solutions_indirectes,french
recharge,true,Transport,attenuation_climatique_solutions_indirectes,french
relocaliser la production,true,Industrie,attenuation_climatique_solutions_indirectes,french
replantation,true,Ecosystème,attenuation_climatique_solutions_indirectes,french
replanter,true,Ecosystème,attenuation_climatique_solutions_indirectes,french
responsable,true,General,attenuation_climatique_solutions_indirectes,french
restreindre,true,General,attenuation_climatique_solutions_indirectes,french
restriction,true,General,attenuation_climatique_solutions_indirectes,french
réacteur nucléaire,true,Energie,attenuation_climatique_solutions_indirectes,french
réguler les températures,true,General,attenuation_climatique_solutions_indirectes,french
rénovation,true,Batiments,attenuation_climatique_solutions_indirectes,french
rénovation énergétique,true,Batiments,attenuation_climatique_solutions_indirectes,french
résistance thermique,true,Batiments,attenuation_climatique_solutions_indirectes,french
saf,true,Transport,attenuation_climatique_solutions_indirectes,french
se déplacer en vélo,true,Transport,attenuation_climatique_solutions_indirectes,french
taxe carbone,true,General,attenuation_climatique_solutions_indirectes,french
ter,true,Transport,attenuation_climatique_solutions_indirectes,french
tgv,true,Transport,attenuation_climatique_solutions_indirectes,french
train,true,Transport,attenuation_climatique_solutions_indirectes,french
trains régionaux,true,Transport,attenuation_climatique_solutions_indirectes,french
tramway,true,Transport,attenuation_climatique_solutions_indirectes,french
transport collectif,true,Transport,attenuation_climatique_solutions_indirectes,french
transport en commun,true,Transport,attenuation_climatique_solutions_indirectes,french
transport ferroviaire,true,Transport,attenuation_climatique_solutions_indirectes,french
transport fluvial,true,Transport,attenuation_climatique_solutions_indirectes,french
transport maritime,true,Transport,attenuation_climatique_solutions_indirectes,french
tri à la source,true,Economie des ressources,attenuation_climatique_solutions_indirectes,french
té heu air,true,Transport,attenuation_climatique_solutions_indirectes,french
tégévé,true,Transport,attenuation_climatique_solutions_indirectes,french
verdir,true,,attenuation_climatique_solutions_indirectes,french
verdure,true,,attenuation_climatique_solutions_indirectes,french
vertueux,true,General,attenuation_climatique_solutions_indirectes,french
ville durable,true,General,attenuation_climatique_solutions_indirectes,french
voitures électriques,true,Transport,attenuation_climatique_solutions_indirectes,french
