keyword,is_empty,general,agriculture,transport,batiments,energie,industrie,eau,ecosysteme,economie_ressources
baisse des rendements agricoles,false,false,true,false,false,false,false,true,true,false
baisse des températures,false,false,false,false,false,false,false,true,false,false
baisse du stockage du carbone dans les sols,false,false,true,false,false,false,false,false,false,false
baisse du trafic aérien,true,false,false,false,false,false,false,false,false,false
baleine échouée,false,true,false,false,false,false,false,false,false,false
bande enherbée,false,true,false,false,false,false,false,false,false,false
bande fleurie,false,false,true,false,false,false,false,false,false,false
banquise,false,false,true,false,false,false,false,false,false,false
bardage en bois,false,true,false,false,false,false,false,false,false,false
barrage,false,false,true,false,false,false,false,false,true,false
barrière naturelle,false,false,false,true,false,true,false,false,false,false
barrière végétale,false,false,false,false,false,false,false,false,true,false
bas carbone,true,false,false,false,false,false,false,false,false,false
bâtiment,true,false,false,false,false,false,false,false,false,false
bâtiment à énergie positive,false,false,false,false,false,false,false,false,true,false
batterie,false,false,false,false,true,false,false,false,false,true
besoin énergétique,false,false,false,false,false,true,false,true,false,false
béton bas carbone,true,false,false,false,false,false,false,false,false,false
bétonisation,false,false,false,false,true,false,false,false,true,false
bétonner,false,true,false,false,false,false,false,false,false,false
bétonner les sols,false,false,false,false,true,false,false,false,false,false
bien être animal,true,false,false,false,false,false,false,false,false,false
bien-être animal,false,false,false,false,false,true,false,false,false,false
bien-être de la nature,false,false,false,false,false,true,false,false,false,false
bien-être des animaux,false,false,false,false,true,false,true,false,false,true
bienfait de la nature,false,false,false,false,true,false,false,false,true,false
bienfaits de la nature,false,false,false,false,true,false,false,false,false,false
bilan carbone,false,false,false,false,true,false,false,false,true,false
bio,false,false,true,false,false,false,false,false,true,false
bio capacité,false,false,true,false,false,false,false,false,true,false
bio inspiration,false,false,false,false,false,false,false,false,true,false
biocapacité ,false,false,true,false,false,false,false,false,true,false
biocarburant,true,false,false,false,false,false,false,false,false,false
biochar,false,false,false,false,false,false,false,false,true,false
bioclimatique,false,false,false,false,false,true,true,false,false,false
biocontrôle,false,false,true,false,false,false,false,false,false,false
biodéchets,false,false,false,false,false,false,false,false,true,true
biodégradable,false,false,false,false,false,false,false,false,true,false
biodiversité,true,false,false,false,false,false,false,false,false,false
biodiversité en danger,false,true,false,false,false,false,false,false,false,false
biodynamie,false,true,false,false,false,false,false,false,false,false
bioérosion,false,false,true,false,false,true,false,false,false,true
biogaz,false,false,false,false,true,true,false,false,false,false
bioinspiration,true,false,false,false,false,false,false,false,false,false
biologiste,false,false,false,false,false,false,false,false,false,true
biomasse,false,false,false,false,false,false,true,false,false,true
biomimétisme,false,false,false,false,false,false,false,false,true,false
bioplastique,false,false,false,false,false,false,false,false,true,false
bios géo chimique,true,false,false,false,false,false,false,false,false,false
blanchissement des coraux,false,false,false,false,false,false,false,false,true,false
bloc d’immeubles,false,false,true,false,false,true,true,false,false,false
bocage,false,false,false,false,false,false,false,false,true,false
bois d’oeuvre,false,false,false,false,false,false,false,false,true,false
bois énergie,false,false,true,false,false,true,true,false,false,false
bois-énergie,false,false,false,false,false,false,false,false,true,false
bon pour la planète,false,false,false,false,false,false,true,false,false,true
bon pour la santé,false,false,false,false,false,false,true,false,false,true
bonne nouvelle pour la planète,false,false,false,false,false,true,true,false,true,false
bonnes pratiques agricoles,false,false,false,false,false,false,false,false,true,false
bonus automobile,false,false,false,false,true,false,false,false,false,false
bonus climatique,false,false,true,false,false,false,false,false,true,false
bonus écologique,false,false,false,false,true,false,true,false,false,true
bonus-malus écologique,false,false,false,false,true,false,true,false,false,true
borne de recharge,true,false,false,false,false,false,false,false,false,false
borne électrique,true,false,false,false,false,false,false,false,false,false
bouquet énergétique,false,true,false,false,false,false,false,false,false,false
bouteille en plastique,false,true,false,false,false,false,false,false,false,false
braconnage,false,true,false,false,false,false,false,false,false,false
braconnier,true,false,false,false,false,false,false,false,false,false
bruit routier,false,false,false,true,false,false,false,false,false,true
bus,false,false,false,false,false,true,false,false,false,true
bus électrique,false,false,false,true,false,false,false,false,false,true
c'est écolo,false,false,false,true,false,true,false,false,false,true
cadmium,false,false,false,true,false,true,false,false,false,false
calotte,false,false,false,true,false,true,false,false,false,false
calotte du groenland,false,false,false,false,false,true,false,false,false,false
calotte glacière,false,false,false,false,false,false,true,true,false,true
calotte polaire,false,false,false,false,false,false,false,false,true,false
camion électrique,false,false,false,false,false,false,false,false,true,false
camion xxl,false,false,false,true,false,false,false,false,false,false
cancer,false,false,false,true,false,false,false,false,false,false
cancérigène,false,false,false,true,false,true,false,false,false,false
cancérogène,true,false,false,false,false,false,false,false,false,false
canicule,false,false,false,false,false,false,true,false,true,true
canicule marine,false,false,false,false,false,false,false,false,true,false
capacité planétaire,false,false,false,false,false,false,false,false,true,false
capital biodiversité,false,false,false,false,false,false,false,false,true,false
capitalisme ,false,false,false,false,false,false,false,false,true,false
capitaliste,false,false,false,true,false,true,true,false,false,false
captage et stockage,false,false,false,true,false,false,true,false,false,false
capteur de carbone,false,true,false,false,false,false,false,false,false,false
capture et séquestration de carbone,false,true,false,false,false,false,false,false,false,false
capturer le carbone,false,false,true,false,false,false,true,false,false,true
carburant,false,false,true,false,false,false,true,false,false,true
carburant d'aviation durable,false,true,false,false,false,false,false,false,false,false
carburant d'origine non fossile,false,false,false,false,false,false,false,false,true,false
carburant de synthèse ,false,true,false,false,false,false,false,false,false,false
carburant durable ,false,true,false,false,false,false,false,false,false,false
castor,true,false,false,false,false,false,false,false,false,false
catastophe écologique,true,false,false,false,false,false,false,false,false,false
catastrophe  ,true,false,false,false,false,false,false,false,false,false
catastrophe climatique,false,false,false,false,false,true,true,false,false,false
catastrophe écologique,false,false,false,false,false,true,true,false,false,false
centrale hydroélectrique,false,false,false,false,false,true,true,false,false,false
centrale nucléaire,false,false,false,false,false,true,true,false,false,false
cerf,false,false,false,false,false,true,false,false,false,false
cerné par les eaux,false,false,false,true,false,true,false,false,false,false
chaleur extrême,false,false,false,true,false,true,true,false,false,false
chaleur record,true,false,false,false,false,false,false,false,false,false
chalut,true,false,false,false,false,false,false,false,false,false
chalutage,false,false,false,false,false,false,false,false,true,false
chalutier,false,true,false,false,false,false,false,false,false,false
champignon,true,false,false,false,false,false,false,false,false,false
changement d'affectation des terres,false,true,false,false,false,false,false,false,false,false
changement d’usage des terres,false,true,false,false,false,false,false,false,false,false
changement de chaudière,false,false,false,false,false,true,false,true,false,false
changement de mode agronomique,false,false,false,false,false,true,true,false,false,false
changement des pratiques,false,false,false,false,false,false,false,false,true,false
changement transformateur,false,false,false,false,false,false,false,true,false,false
changements transformateurs,false,true,false,false,false,false,false,false,false,false
changer de modèle agricole,false,true,false,false,false,false,false,false,false,false
changer de modèle économique,false,false,false,false,false,false,false,false,true,true
changer les pratiques agricoles,false,false,false,false,false,false,false,false,true,true
changer les pratiques de pêche ,false,false,false,true,false,false,false,false,true,false
changer leurs habitudes,false,false,true,false,false,false,false,false,true,false
changer nos comportements,true,false,false,false,false,false,false,false,false,false
changer nos habitudes,false,false,true,false,false,false,false,false,true,true
changer nos habitudes alimentaires,false,false,false,false,true,true,false,false,false,false
chant des oiseaux,true,false,false,false,false,false,false,false,false,false
charbon,true,false,false,false,false,false,false,false,false,false
chardonneret,false,true,false,false,false,false,false,false,false,false
chasse,true,false,false,false,false,false,false,false,false,false
chasseur,false,false,true,false,false,false,false,false,false,false
châtaignier,false,true,false,false,false,false,false,false,false,false
chauffage,true,false,false,false,false,false,false,false,false,false
chauffage au fuel,true,false,false,false,false,false,false,false,false,false
chauffage au gaz,false,true,false,false,false,false,false,false,false,false
chauve-souris,false,true,false,false,false,false,false,false,false,false
chêne,false,true,false,false,false,false,false,false,false,false
chenille processionnaire,false,false,true,false,false,false,false,false,false,true
chevreuil,false,false,false,false,false,false,false,false,true,false
chlordécone,false,false,false,false,false,true,false,false,false,false
cigogne,false,false,false,false,false,false,false,false,true,false
ciment de nouvelle génération,false,false,false,false,false,false,false,false,true,false
ciment durable,false,false,false,false,false,false,false,false,true,false
cinquante degrés,false,false,false,false,false,false,false,false,true,false
circuits courts,false,false,false,false,false,true,false,false,false,false
civelle,false,false,false,false,false,true,false,false,false,false
climat,false,false,false,false,false,true,false,false,false,false
climatique,false,false,false,false,false,false,false,false,true,false
climatique extrême,false,false,false,false,false,false,false,false,true,false
climatisation,false,false,false,false,false,false,false,false,true,false
climatologue,false,false,false,false,false,false,false,false,true,false
climatoscepticisme,false,false,true,false,false,false,false,true,true,false
climatosceptique,false,false,false,false,false,false,false,false,true,false
co deux,false,false,false,false,true,false,true,false,false,true
co2,false,false,false,false,true,false,true,false,false,true
cobalt,false,true,false,false,false,false,false,false,false,false
coléoptères,false,false,true,false,false,false,false,false,false,false
combustibles fossiles,false,false,false,false,false,false,false,false,true,false
commerce illégal d’espèces,false,true,false,false,false,false,false,false,false,false
compactage des sols,false,true,false,false,false,false,false,false,false,false
compagnie gazière,false,true,false,false,false,false,false,false,false,false
compagnie pétrolière,false,false,false,false,true,true,false,false,false,false
compensation des atteintes à la biodiversité,false,true,false,false,false,false,false,false,false,false
complexe agro-industriel,false,true,false,false,false,false,false,false,false,false
compost,false,true,false,false,false,false,false,false,false,false
compostable,false,true,false,false,false,false,false,false,false,false
compostage,false,true,false,false,false,false,false,false,false,false
composter,false,false,false,false,false,false,false,false,false,true
compostés,false,false,false,false,false,false,false,false,true,false
condition dégradée d’habitation,false,false,false,false,false,true,true,false,false,true
conditions de vie sur terre,false,false,false,false,false,false,false,false,true,true
conférence climat,false,false,true,false,false,false,false,false,false,false
conférence des nations unies sur l' océan,false,false,false,false,false,true,true,false,false,false
conférence des nations unies sur l'océan,false,false,false,false,false,true,true,false,false,false
conférence des nations unies sur le climat,true,false,false,false,false,false,false,false,false,false
conférence des nations unies sur les changements climatiques,false,false,true,false,false,false,true,false,false,false
conférence des nations unies sur les océans,false,false,false,false,false,false,false,false,false,true
conférence des parties,false,false,false,false,false,false,false,false,false,true
conflit d’usage de l’eau,false,false,true,false,false,false,false,false,false,true
conflits d’usage de l’eau,false,false,false,false,false,false,false,false,false,true
connectivité des espaces naturels,false,false,false,false,false,false,false,false,false,true
conservation d'espèces,false,false,false,false,true,false,false,false,false,false
conservation de la nature,false,true,false,false,false,false,false,false,false,false
conservation des habitats,false,true,false,false,false,false,false,false,false,false
conservation des milieux,true,false,false,false,false,false,false,false,false,false
conservation environnementale,true,false,false,false,false,false,false,false,false,false
conservation marine,false,true,false,false,false,false,false,false,false,false
conservatoire du littoral,false,true,false,false,false,false,false,false,false,false
conserver la nature,true,false,false,false,false,false,false,false,false,false
conserver les milieux,false,true,false,false,false,false,false,false,false,false
consigne ,false,false,false,false,false,false,false,true,false,false
consommation de plastique,false,false,false,false,false,false,false,true,false,false
consommation énergétique,true,false,false,false,false,false,false,false,false,false
consommation plus responsable,true,false,false,false,false,false,false,false,false,false
consommation responsable,false,false,false,false,false,false,false,false,true,false
consommer autrement,true,false,false,false,false,false,false,false,false,false
contaminé,true,false,false,false,false,false,false,false,false,false
contaminée,true,false,false,false,false,false,false,false,false,false
continuité écologique,false,false,false,false,false,false,false,true,true,false
continuité végétale,true,false,false,false,false,false,false,false,false,false
contre l'effondrement de la biodiversité,false,false,false,false,false,false,false,false,true,false
contre l'érosion de la biodiversité,true,false,false,false,false,false,false,false,false,false
contre la déforestation,true,false,false,false,false,false,false,false,false,false
contre la surpêche,false,false,false,false,false,false,true,false,false,true
contre les émissions de carbone,false,false,false,false,false,true,false,false,false,false
contre les pesticides,false,false,false,false,false,false,false,false,false,true
convention des nations unies sur la diversité biologique,false,true,false,false,false,false,false,false,false,false
convention des nations unies sur le climat,false,false,false,false,false,false,false,false,false,true
convention pour l'environnement,false,true,false,false,false,false,false,false,false,false
convention sur la diversité biologique,false,true,false,false,false,false,false,false,false,false
cop 15,false,false,false,false,false,false,false,false,true,false
cop 16,false,false,false,false,false,false,false,false,true,false
cop biodiversité,true,false,false,false,false,false,false,false,false,false
cop de montréal,true,false,false,false,false,false,false,false,false,false
cop dix sept,true,false,false,false,false,false,false,false,false,false
cop quinze,true,false,false,false,false,false,false,false,false,false
cop seize,true,false,false,false,false,false,false,false,false,false
cop sur la biodiversité,false,true,false,false,false,false,false,false,false,false
cop trente,true,false,false,false,false,false,false,false,false,false
cop vingt-et-un,false,false,false,false,false,false,false,false,true,false
cop vingt-huit,false,true,false,false,false,false,false,false,false,false
cop vingt-neuf,true,false,false,false,false,false,false,false,false,false
cop vingt-sept,false,false,false,false,false,false,false,false,true,false
cop vingt-six,false,true,false,false,false,false,false,false,false,false
cop15,false,true,false,false,false,false,false,false,false,false
cop21,false,false,false,false,false,false,false,false,true,false
cop26,false,true,false,false,false,false,false,false,false,false
cop27,false,true,false,false,false,false,false,false,false,false
cop28,false,true,false,false,false,false,false,false,false,false
cop29,false,true,false,false,false,false,false,false,false,false
cop30,false,false,false,false,false,false,false,false,true,false
corail,false,true,false,false,false,false,false,false,false,false
coraux,false,true,false,false,false,false,false,false,false,false
corridor écologique,false,true,false,false,false,false,false,false,false,false
couloir migratoire,false,true,false,false,false,false,false,false,false,false
coupe rase,false,true,false,false,false,false,false,false,false,false
cours d'eau,false,true,false,false,false,false,false,false,false,false
cours d'eau restauré,false,true,false,false,false,false,false,false,false,false
couvert végétal,false,true,false,false,false,false,false,false,false,false
couverts végétaux,false,true,false,false,false,false,false,false,false,false
covoiturage,false,true,false,false,false,false,false,false,false,false
création d'habitat,false,true,false,false,false,false,false,false,false,false
création de mares,false,true,false,false,false,false,false,false,false,false
création de nouveaux habitats,false,true,false,false,false,false,false,false,false,false
crédit biodiversité,false,false,false,false,false,false,false,false,true,false
crédit carbone,false,false,false,false,false,false,false,false,true,false
crée des habitats,false,false,false,false,false,false,false,false,true,false
crée des mares,true,false,false,false,false,false,false,false,false,false
créer des habitats,false,false,false,false,false,false,false,false,true,false
créer des mares,false,false,false,false,false,false,false,true,true,false
crise climatique,true,false,false,false,false,false,false,false,false,false
crise d'extinction de masse,true,false,false,false,false,false,false,false,false,false
crise de la biodiversité,true,false,false,false,false,false,false,false,false,false
crise du lien,false,false,false,true,false,false,false,false,false,false
crise écologique,true,false,false,false,false,false,false,false,false,false
crise environnementale,true,false,false,false,false,false,false,false,false,false
crise planétaire,true,false,false,false,false,false,false,false,false,false
crit'air,true,false,false,false,false,false,false,false,false,false
croissance bleue,false,true,false,false,false,false,false,false,false,false
croissance verte,true,false,false,false,false,false,false,false,false,false
crue,true,false,false,false,false,false,false,false,false,false
crue centennale,true,false,false,false,false,false,false,false,false,false
crustacé,true,false,false,false,false,false,false,false,false,false
cuivre,false,true,false,false,false,false,false,false,false,false
culture diversifiée,false,false,false,false,false,false,false,false,true,false
culture intermédiaire,false,false,false,false,false,false,false,false,true,false
cycle de l’eau,false,true,false,false,false,false,false,false,false,false
cycle du carbone,false,true,false,false,false,false,false,false,false,false
cycles biogéochimiques,false,true,false,false,false,false,false,false,false,false
cyclone,false,true,false,false,false,false,false,false,false,false
d'ici 2050,false,false,false,true,false,false,false,false,false,false
dauphin,false,true,false,false,false,false,false,false,false,false
dauphin échoué,false,false,false,false,false,true,true,false,false,true
débusage,false,false,false,false,false,false,false,true,false,false
décarbonation,false,false,false,false,false,false,false,true,false,false
décarboné,false,false,false,false,false,false,false,false,true,false
décarbonée,false,false,false,false,false,false,false,false,false,true
décarboner,true,false,false,false,false,false,false,false,false,false
décès à cause de la chaleur,true,false,false,false,false,false,false,false,false,false
décharge sauvage,false,false,false,false,false,false,false,true,false,false
décharges,false,false,false,false,false,true,false,false,false,false
déchet,false,true,false,false,false,false,false,false,false,false
déchet ,false,false,false,false,false,false,false,false,true,false
déchet de canne à sucre,false,true,false,false,false,false,false,false,false,false
déchet toxique,false,false,false,false,false,false,false,false,true,false
déchet valorisé,false,false,false,false,false,false,false,false,true,false
déchèterie,true,false,false,false,false,false,false,false,false,false
déchets toxiques,false,true,false,false,false,false,false,false,false,false
déchetterie,false,true,false,false,false,false,false,false,false,false
déclin de la biodiversité,false,true,false,false,false,false,false,false,false,false
déclin du vivant,false,true,false,false,false,false,false,false,false,false
déconstruire,false,true,false,false,false,false,false,false,false,false
décroissance,false,false,false,false,false,false,false,false,true,true
décroissance énergétique,false,false,false,false,false,false,false,false,false,true
deep sea mining,false,false,false,false,false,false,false,false,false,true
défense de l'environnement,true,false,false,false,false,false,false,false,false,false
défense de la nature,false,false,true,false,false,false,false,false,false,true
défenseur de l'environnement,false,false,false,false,false,false,true,false,false,true
défenseur de la nature,false,false,false,false,false,false,false,false,false,true
défi climatique,false,false,false,false,false,false,false,false,false,true
défi de notre siècle,false,false,false,false,false,false,false,false,false,true
déficit de pluie,false,false,false,false,false,false,false,false,false,true
déforestation,false,false,false,false,false,false,false,false,true,false
dégradation de l'habitat,false,false,false,false,false,false,false,false,true,false
dégradation des ecosystèmes,false,true,false,false,false,false,false,false,false,false
dégradation des puits de carbone,false,true,false,false,false,false,false,false,false,false
dégradation des sols,false,true,false,false,false,false,false,false,false,false
dégrader,false,false,false,false,false,true,false,false,false,true
déluge,false,true,false,false,false,false,false,false,false,false
dengue,false,true,false,false,false,false,false,false,false,false
dépassement des limites planétaires,false,false,false,false,false,false,false,false,true,false
déperdition de chaleur,false,true,false,false,false,false,false,false,false,false
dépérissement,false,false,false,false,false,false,false,false,true,false
dépolluant,false,true,false,false,false,false,false,false,false,false
dépollué,false,true,false,false,false,false,false,false,false,false
dépolluer,false,false,false,false,false,false,false,true,false,false
dépollution,false,false,true,false,false,false,false,false,true,true
dépôt sauvage,false,false,true,false,false,false,false,false,true,true
désalinisation des eaux,false,false,false,false,true,false,false,false,true,false
descente énergétique,false,false,false,false,false,false,false,false,true,false
désertification,false,false,false,false,false,true,false,false,true,false
désimperméabilisant,false,false,true,false,false,false,false,false,true,false
désimperméabilisé ,false,true,false,false,false,false,false,false,false,false
désimperméabilisée,false,false,false,false,false,false,false,true,false,false
désimperméabiliser,false,false,false,false,false,false,false,false,true,false
désobéissance civile,false,true,false,false,false,false,false,false,false,false
dessalement de l’eau de mer,false,false,false,false,true,false,false,false,false,false
déstabilisation atmosphérique,false,false,false,false,false,false,false,false,true,false
destruction de la biodiversité,true,false,false,false,false,false,false,false,false,false
destruction de la planète,true,false,false,false,false,false,false,false,false,false
destruction des habitats naturels,false,false,false,false,false,false,false,true,true,true
destruction des milieux naturels,false,true,false,false,false,false,false,false,false,false
dévastation ,false,true,false,false,false,false,false,false,false,false
développement de la planète,false,false,false,false,false,false,false,false,true,true
développement durable,false,false,false,false,false,true,false,true,false,false
développement naturel,false,false,false,false,false,true,false,true,false,false
diagnostic de performance energétique,false,false,false,false,false,true,false,false,false,false
diesel,false,false,true,false,false,false,false,true,true,false
digue,true,false,false,false,false,false,false,false,false,false
diminuer les émissions de carbone,true,false,false,false,false,false,false,false,false,false
diminuer les émissions de gaz à effet de serre,true,false,false,false,false,false,false,false,false,false
diminution de la banquise,true,false,false,false,false,false,false,false,false,false
diminution des glaciers,false,true,false,false,false,false,false,false,false,false
diminution des rendements agricoles,false,false,false,false,false,false,false,true,false,false
disparition des coraux,false,true,false,false,false,false,false,false,false,false
disparition des espèces,false,false,false,false,false,false,false,false,true,false
disparition des forêts,false,false,false,false,false,false,false,false,true,false
disparition des glaciers,false,false,false,false,false,false,false,false,true,false
disparition des haies,false,false,false,false,false,false,false,false,true,false
disparition des insectes,true,false,false,false,false,false,false,false,false,false
disparition des oiseaux,false,true,false,false,false,false,false,false,false,false
disparition des récifs coralliens,false,true,false,false,false,false,false,false,false,false
disparition du vivant,true,false,false,false,false,false,false,false,false,false
diversification des cultures,false,false,false,false,true,true,false,false,false,false
diversification des habitats,false,false,false,true,false,true,false,false,false,false
diversifier la végétation,false,false,false,false,false,false,false,true,true,false
diversifier les cultures,false,true,false,false,false,false,false,false,false,false
